year,paxBts,pax,prediction2019,prediction2021,paxInModel2019
2000,674250,674250,638381.6688198745,710899.456803699,674250
2001,629267,629267,650459.5405230448,711769.9414371129,629267
2002,621606,621606,662537.4122262187,712640.4260705269,621606
2003,656728,656728,674615.283929389,713510.9107039408,656728
2004,714015,714015,686693.1556325592,714381.3953373549,714015
2005,747174,747174,698771.0273357294,715251.8799707687,747174
2006,750790,750790,710848.8990389034,716122.3646041828,750790
2007,775989,775989,722926.7707420737,716992.8492375966,775989
2008,749238,749238,735004.6424452439,717863.3338710107,749238
2009,709287,709287,747082.5141484141,718733.8185044245,709287
2010,726546,726546,759160.3858515844,719604.3031378386,726546
2011,737392,737392,771238.2575547583,720474.7877712524,737392
2012,742818,742818,783316.1292579286,721345.2724046665,742818
2013,748537,748537,795394.0009610988,722215.7570380804,748537
2014,768120,768120,807471.8726642691,723086.2416714944,768120
2015,803579,803579,819549.744367443,723956.7263049083,803579
2016,828762,828762,831627.6160706133,724827.2109383224,828762
2017,853885,853885,843705.4877737835,725697.6955717362,853885
2018,893494,893494,855783.3594769537,726568.1802051503,893494
2019,930952,930952,867861.2311801277,727438.6648385641,930952
2020,372172,372172,879939.102883298,728309.1494719782,""
2021,203136,406269,892016.9745864682,729179.634105392,""
2022,"","",904094.8462896384,730050.1187388061,""
2023,"","",916172.7179928087,730920.60337222,""
2024,"","",928250.5896959826,731791.088005634,""
2025,"","",940328.4613991529,732661.5726390479,""
2026,"","",952406.3331023231,733532.0572724619,""
